id,name,address,category,quarter,note,photoQuery,photoUrl,photoFile,lat,lng,kind,source,photoMode,photoLocked
1,Classic-Remise Berlin,"Wiebestraße 36 – 37, 10553 Berlin, Allemagne",Auto & insolite,Moabit,"Ancien dépôt de tramways rempli de voitures anciennes : métal, verrières et détails mécaniques.",Classic Remise Berlin,https://hagerty-media-prod.imgix.net/2025/06/Classic-Remise-Museum-IMG_1407.jpg?auto=format%2Ccompress&fit=crop&h=480&ixlib=php-3.3.0&w=640,,52.53031,13.31861,,Liste Maps + vérification V2,fixed,True
2,Neue Nationalgalerie,"Potsdamer Str. 50, 10785 Berlin, Allemagne",Culture & musées,Tiergarten,"Mies van der Rohe : verre, acier, trame et minimalisme.",Neue Nationalgalerie Berlin,https://hips.hearstapps.com/hmg-prod/images/april-2021-berlin-the-new-national-gallery-at-the-news-photo-1702870356.jpg,,52.50698,13.36758,,Liste Maps + vérification V2,fixed,True
3,P 8,"Brunolf-Baade-Str. 1, 12529 Schönefeld, Allemagne",Architecture & photo,Schönefeld,"Structure contemporaine aux abords de BER, intéressante pour les lignes et répétitions.",P8 Berlin Brandenburg Airport architecture,https://ber.berlin-airport.de/de/cafes-shops-service/sgs-poi/406-parkhaus-p8-t1/_jcr_content/root/stage/landscape.coreimg.jpeg/1743013681470/parkhaus-p8.jpeg,,52.36692,13.5076,,Liste Maps + vérification V2,fixed,True
4,Mäusebunker,"Krahmerstraße 6, 12207 Berlin, Allemagne",Architecture & photo,Lichterfelde,"Brutalisme radical, volumes massifs et silhouettes presque dystopiques.",Mäusebunker Berlin,https://www.designboom.com/twitterimages/uploads/2023/05/mausebunker-designboom-02.jpg,,52.4306,13.3157,,Liste Maps + vérification V2,fixed,True
5,Bibliothèque philologique de l'Université libre de Berlin,"Habelschwerdter Allee 45, 14195 Berlin, Allemagne",Architecture & photo,Dahlem,"La bibliothèque de Norman Foster, surnommée “The Brain”, offre une géométrie organique très graphique.",Philologische Bibliothek Freie Universität Berlin Norman Foster The Brain,,2009-07-24-Philologische-Bibliothek-FU-Berlin-A.jpg,52.45186,13.28833,,Liste Maps + vérification V2,fixed,True
6,Jakob-Kaiser-Haus,"Dorotheenstraße 100/101, 10117 Berlin, Allemagne",Architecture & photo,Mitte,"Architecture parlementaire contemporaine, passerelles, cours et cadrages sur la Spree.",Jakob Kaiser Haus Berlin,https://www.bundestag.de/resource/image/962122/16x9/2340/1318/fa5df4a26398747f34f84c66578f72de/81068858A09D06E99823E370AAD341E1/jkh_bild.jpg,,52.5182,13.37889,,Liste Maps + vérification V2,fixed,True
7,Chancellerie fédérale,"Willy-Brandt-Straße 1, 10557 Berlin, Allemagne",Architecture & photo,Tiergarten,"Grands volumes blancs, ouvertures monumentales et perspectives institutionnelles.",Bundeskanzleramt Berlin Willy Brandt Straße,,"Bundeskanzleramt (Berlin), 150515, ako.jpg",52.520358,13.370843,,Liste Maps + vérification V2,fixed,True
8,Université technique de Berlin,"Straße des 17. Juni 135, 10623 Berlin, Allemagne",Architecture & photo,Charlottenburg,"Campus mêlant modernisme, brutalité et grands volumes universitaires.",Technische Universität Berlin Hauptgebäude Straße des 17. Juni 135,,Berlin-Charlottenburg Straße des 17. Juni TU-Hauptgebäude.jpg,52.512852,13.326716,,Liste Maps + vérification V2,fixed,True
9,Jacob-und-Wilhelm-Grimm-Zentrum,"Geschwister-Scholl-Straße 1-3, 10117 Berlin, Allemagne",Architecture & photo,Mitte,"Bibliothèque très graphique, connue pour son spectaculaire intérieur en gradins.",Grimm Zentrum Berlin library,https://bauten.hu-berlin.de/de/grimm/bilder/fotos-architektur/leseterrassen-im-jacob-und-wilhelm-grimm-zentrum-der-hu-berlin-architektur/%40%40images/image-768-5e150cdd74a296de4dc324aca0ce2f42.jpeg,,52.52061,13.39111,,Liste Maps + vérification V2,fixed,True
10,Axel Springer Neubau,"Zimmerstraße 50, 10117 Berlin, Allemagne",Architecture & photo,Mitte,"OMA : immense atrium diagonal, verre et architecture de bureau spectaculaire.",Axel Springer Neubau Berlin OMA,https://images.divisare.com/images/c_limit%2Cf_auto%2Ch_2000%2Cq_auto%2Cw_3000/v1602148676/rg6twtd4nrcsl3fhweqw/oma-laurian-ghinitoiu-axel-springer-campus.jpg,,52.50862,13.39827,,Liste Maps + vérification V2,fixed,True
11,Unité d'Habitation of Berlin,"Flatowallee 16, 14055 Berlin, Allemagne",Architecture & photo,Westend,"Le Corbusier à Berlin : façade modulaire, couleurs et répétition.",Corbusierhaus Berlin Unite habitation,https://www.merian.de/uploads/media/jalag-4x3/07/3197-Corbusier-Haus-Iain-Masterton---Alamy-Stock-Photo.jpg?v=1-0,,52.511008,13.242808,,Liste Maps + vérification V2,fixed,True
