id,name,address,category,quarter,note,photoQuery,photoUrl,photoFile,lat,lng,kind,source
1,Classic-Remise Berlin,"Wiebestraße 36 – 37, 10553 Berlin, Allemagne",Auto & insolite,Moabit,"Ancien dépôt de tramways rempli de voitures anciennes : métal, verrières et détails mécaniques.",Classic Remise Berlin,,,52.53031,13.31861,,Liste Maps + vérification V2
2,Neue Nationalgalerie,"Potsdamer Str. 50, 10785 Berlin, Allemagne",Culture & musées,Tiergarten,"Mies van der Rohe : verre, acier, trame et minimalisme.",Neue Nationalgalerie Berlin,,,52.50698,13.36758,,Liste Maps + vérification V2
3,P 8,"Brunolf-Baade-Str. 1, 12529 Schönefeld, Allemagne",Architecture & photo,Schönefeld,"Structure contemporaine aux abords de BER, intéressante pour les lignes et répétitions.",P8 Berlin Brandenburg Airport architecture,,,52.36692,13.5076,,Liste Maps + vérification V2
4,Mäusebunker,"Krahmerstraße 6, 12207 Berlin, Allemagne",Architecture & photo,Lichterfelde,"Brutalisme radical, volumes massifs et silhouettes presque dystopiques.",Mäusebunker Berlin,,,52.4306,13.3157,,Liste Maps + vérification V2
5,Bibliothèque philologique de l'Université libre de Berlin,"Habelschwerdter Allee 45, 14195 Berlin, Allemagne",Architecture & photo,Dahlem,"La bibliothèque de Norman Foster, surnommée “The Brain”, offre une géométrie organique très graphique.",Philologische Bibliothek Freie Universität Berlin Norman Foster The Brain,,2009-07-24-Philologische-Bibliothek-FU-Berlin-A.jpg,52.45186,13.28833,,Liste Maps + vérification V2
6,Jakob-Kaiser-Haus,"Dorotheenstraße 100/101, 10117 Berlin, Allemagne",Architecture & photo,Mitte,"Architecture parlementaire contemporaine, passerelles, cours et cadrages sur la Spree.",Jakob Kaiser Haus Berlin,,,52.5182,13.37889,,Liste Maps + vérification V2
7,Chancellerie fédérale,"Willy-Brandt-Straße 1, 10557 Berlin, Allemagne",Architecture & photo,Tiergarten,"Grands volumes blancs, ouvertures monumentales et perspectives institutionnelles.",Bundeskanzleramt Berlin Willy Brandt Straße,,"Bundeskanzleramt (Berlin), 150515, ako.jpg",52.520358,13.370843,,Liste Maps + vérification V2
8,Université technique de Berlin,"Straße des 17. Juni 135, 10623 Berlin, Allemagne",Architecture & photo,Charlottenburg,"Campus mêlant modernisme, brutalité et grands volumes universitaires.",Technische Universität Berlin Hauptgebäude Straße des 17. Juni 135,,Berlin-Charlottenburg Straße des 17. Juni TU-Hauptgebäude.jpg,52.512852,13.326716,,Liste Maps + vérification V2
9,Jacob-und-Wilhelm-Grimm-Zentrum,"Geschwister-Scholl-Straße 1-3, 10117 Berlin, Allemagne",Architecture & photo,Mitte,"Bibliothèque très graphique, connue pour son spectaculaire intérieur en gradins.",Grimm Zentrum Berlin library,,,52.52061,13.39111,,Liste Maps + vérification V2
10,Axel Springer Neubau,"Zimmerstraße 50, 10117 Berlin, Allemagne",Architecture & photo,Mitte,"OMA : immense atrium diagonal, verre et architecture de bureau spectaculaire.",Axel Springer Neubau Berlin OMA,,,52.50862,13.39827,,Liste Maps + vérification V2
11,Unité d'Habitation of Berlin,"Flatowallee 16, 14055 Berlin, Allemagne",Architecture & photo,Westend,"Le Corbusier à Berlin : façade modulaire, couleurs et répétition.",Corbusierhaus Berlin Unite habitation,,,52.511008,13.242808,,Liste Maps + vérification V2
12,Temporary Bauhaus-Archiv / Museum für Gestaltung,"Knesebeckstraße 1, 10623 Berlin-Bezirk Charlottenburg-Wilmersdorf, Allemagne",Culture & musées,Charlottenburg,"Adresse temporaire du Bauhaus-Archiv, utile pour suivre ses expositions pendant les travaux.",Haus Hardenberg Knesebeckstraße Berlin temporary Bauhaus Archiv,,Haus Hardenberg.jpg,52.5109,13.3228,,Liste Maps + vérification V2
13,Bauhaus Archive,"Klingelhöferstraße 14, 10785 Berlin, Allemagne",Architecture & photo,Tiergarten,Icône Bauhaus reconnaissable à ses sheds et sa silhouette industrielle blanche.,Bauhaus Archiv Berlin,,,52.50634,13.35385,,Liste Maps + vérification V2
14,Interbau Apartment House / Oscar Niemeyer,"Altonaer Str. 6, 10557 Berlin, Allemagne",Architecture & photo,Hansaviertel,"Immeuble Interbau de Niemeyer : pilotis, façade rythmée et modernisme des années 1950.",Oscar Niemeyer Haus Berlin Hansaviertel,,,52.51769,13.3443,,Liste Maps + vérification V2
15,Berlin-Hansaviertel,"Altonaer Str. 22, 10557 Berlin, Allemagne",Quartiers & ambiances,Hansaviertel,"Musée à ciel ouvert de l’Interbau 1957, avec Aalto, Niemeyer, Gropius et autres modernistes.",Hansaviertel Berlin Interbau,,,52.51912,13.34187,,Liste Maps + vérification V2
16,Tour radio de Berlin,"Hammarskjöldpl., 14055 Berlin, Allemagne",Architecture & photo,Westend,"Grande structure métallique du Funkturm, intéressante en contre-plongée et à l’heure bleue.",Funkturm Berlin,,,52.50502,13.27814,,Liste Maps + vérification V2
17,Klunkerkranich,"Karl-Marx-Straße 66, 12043 Berlin-Bezirk Neukölln, Allemagne",Cafés & bars,Neukölln,"Rooftop alternatif avec vue urbaine, structures bricolées et lumière de fin de journée.",Klunkerkranich Berlin Neukölln rooftop,,KlunkerkranichBerlin.jpg,52.48207,13.43133,,Liste Maps + vérification V2
18,Badeschiff,"Eichenstraße 4, 12435 Berlin-Bezirk Friedrichshain-Kreuzberg, Allemagne",Quartiers & ambiances,Alt-Treptow,"Piscine flottante sur la Spree, containers, eau et paysage industriel.",Badeschiff Berlin,,,52.49763,13.45366,,Liste Maps + vérification V2
19,Shell-Haus,"Reichpietschufer 60-62, 10785 Berlin, Allemagne",Architecture & photo,Tiergarten,Façade ondulée emblématique de la Nouvelle Objectivité.,Shell Haus Berlin,,,52.506111,13.363306,,Liste Maps + vérification V2
20,Dong Xuan Center,"Herzbergstraße 128-139, 10365 Bezirk Lichtenberg, Allemagne",Quartiers & ambiances,Lichtenberg,"Halles vietnamiennes, enseignes, couleurs et atmosphère très différente du centre de Berlin.",Dong Xuan Center Berlin,,,52.52886,13.48947,,Liste Maps + vérification V2
21,St. Agnes,"Alexandrinenstraße 118-121, 10969 Berlin, Allemagne",Architecture & photo,Kreuzberg,Ancienne église brutaliste transformée en galerie : béton monumental et lumière austère.,St Agnes Berlin König Galerie,,,52.50074,13.40091,,Liste Maps + vérification V2
22,Kulturforum,"Matthäikirchplatz, 10785 Berlin, Allemagne",Culture & musées,Tiergarten,"Ensemble culturel moderniste : espaces ouverts, musées et grands volumes.",Kulturforum Berlin Matthäikirchplatz,,"Kulturforum, Berlin.jpg",52.50846,13.36774,,Liste Maps + vérification V2
