Name,Address,Category,Quarter,Note
Classic-Remise Berlin,"Wiebestraße 36 – 37, 10553 Berlin, Allemagne",Auto & insolite,Moabit,"Ancien dépôt de tramways rempli de voitures anciennes : métal, verrières et détails mécaniques."
Neue Nationalgalerie,"Potsdamer Str. 50, 10785 Berlin, Allemagne",Culture & musées,Tiergarten,"Mies van der Rohe : verre, acier, trame et minimalisme."
P 8,"Brunolf-Baade-Str. 1, 12529 Schönefeld, Allemagne",Architecture & photo,Schönefeld,"Structure contemporaine aux abords de BER, intéressante pour les lignes et répétitions."
Mäusebunker,"Krahmerstraße 6, 12207 Berlin, Allemagne",Architecture & photo,Lichterfelde,"Brutalisme radical, volumes massifs et silhouettes presque dystopiques."
Bibliothèque philologique de l'Université libre de Berlin,"Habelschwerdter Allee 45, 14195 Berlin, Allemagne",Architecture & photo,Dahlem,"La bibliothèque de Norman Foster, surnommée “The Brain”, offre une géométrie organique très graphique."
Jakob-Kaiser-Haus,"Dorotheenstraße 100/101, 10117 Berlin, Allemagne",Architecture & photo,Mitte,"Architecture parlementaire contemporaine, passerelles, cours et cadrages sur la Spree."
Chancellerie fédérale,"Willy-Brandt-Straße 1, 10557 Berlin, Allemagne",Architecture & photo,Tiergarten,"Grands volumes blancs, ouvertures monumentales et perspectives institutionnelles."
Université technique de Berlin,"Straße des 17. Juni 135, 10623 Berlin, Allemagne",Architecture & photo,Charlottenburg,"Campus mêlant modernisme, brutalité et grands volumes universitaires."
Jacob-und-Wilhelm-Grimm-Zentrum,"Geschwister-Scholl-Straße 1-3, 10117 Berlin, Allemagne",Architecture & photo,Mitte,"Bibliothèque très graphique, connue pour son spectaculaire intérieur en gradins."
Axel Springer Neubau,"Zimmerstraße 50, 10117 Berlin, Allemagne",Architecture & photo,Mitte,"OMA : immense atrium diagonal, verre et architecture de bureau spectaculaire."
Unité d'Habitation of Berlin,"Flatowallee 16, 14055 Berlin, Allemagne",Architecture & photo,Westend,"Le Corbusier à Berlin : façade modulaire, couleurs et répétition."
the temporary bauhaus-archiv / museum für gestaltung,"Knesebeckstraße 1, 10623 Berlin-Bezirk Charlottenburg-Wilmersdorf, Allemagne",Culture & musées,Charlottenburg,"Adresse temporaire du Bauhaus-Archiv, utile pour suivre ses expositions pendant les travaux."
